Mu,Sigma,Sharpe,Beta,AAPL,BAC,CCL,CSGP,F,GIS,HAS,INTC,PFE,SNAP,T,XOM
13.73,39.09,0.35,0.84,34.0,3.09,1.2,16.33,0.98,15.73,5.06,3.2,7.66,1.56,1.61,9.58
12.45,41.61,0.3,0.86,19.26,1.47,1.74,14.19,7.68,12.83,10.5,6.89,18.93,2.57,0.09,3.86
14.34,39.42,0.36,0.91,35.06,6.57,0.96,20.9,1.78,5.41,12.41,2.7,6.35,0.43,6.09,1.35
13.57,39.84,0.34,0.84,17.38,5.6,0.29,24.32,0.42,15.81,14.71,3.91,5.6,1.66,7.81,2.5
12.56,41.01,0.31,0.89,10.01,4.03,0.1,20.5,10.56,7.68,9.1,17.1,2.95,0.34,15.84,1.78
13.0,40.5,0.32,0.81,0.93,0.28,0.38,11.68,13.33,5.78,42.29,1.44,15.02,0.89,3.03,4.95
12.5,41.43,0.3,0.85,29.18,1.51,1.16,1.17,1.99,8.83,17.28,15.06,6.32,3.55,5.53,8.42
13.43,44.16,0.3,0.93,20.01,6.74,0.75,32.71,4.93,9.67,12.23,1.74,5.36,3.29,1.85,0.73
13.48,40.24,0.34,0.81,0.21,2.03,1.68,17.63,7.83,15.63,35.27,9.27,1.27,0.07,0.09,9.03
12.76,41.12,0.31,0.84,12.93,5.33,4.45,0.26,8.09,8.58,41.01,10.77,3.32,0.46,4.71,0.09
12.64,41.72,0.3,0.82,19.72,1.26,2.98,3.82,1.78,5.82,29.12,7.21,6.0,2.53,16.95,2.79
13.71,40.92,0.34,0.87,0.05,3.2,1.11,26.39,1.12,4.7,30.78,14.36,4.14,0.32,12.18,1.66
14.61,47.85,0.31,1.02,0.11,2.15,0.28,70.91,0.42,4.1,5.61,6.66,1.52,4.11,0.55,3.58
12.66,41.24,0.31,0.8,22.23,1.31,1.85,0.47,3.34,2.48,32.89,0.19,14.35,3.07,6.49,11.31
14.28,38.48,0.37,0.89,37.67,10.07,1.33,4.74,2.06,0.49,33.51,2.12,3.53,0.29,1.95,2.23
13.8,41.34,0.33,0.85,7.69,6.26,3.88,37.16,0.31,18.61,11.61,0.15,1.99,0.2,9.32,2.81
13.7,40.0,0.34,0.78,6.84,3.13,1.56,14.84,1.11,2.6,37.42,1.47,3.77,0.29,6.57,20.42
12.54,39.37,0.32,0.81,29.83,9.2,1.67,4.51,0.29,13.33,11.63,1.97,2.55,2.11,4.44,18.47
